prompt,embedding_similarity
Alyssa presents one group of shoppers with an advertisement for milk that is 99 percent fat free and another group of shoppers with an advertisement for milk that is 1 percent fat. What is Alyssa most likely testing?,0.876832
Why might a researcher use a variable ratio of reinforcement rather than a fixed ratio?,0.8648339
"Which of the following best explains why mnemonic devices, such as the method of loci, are typically effective at helping individuals remember information?",0.8646335
"In order for the mean, mode, and median of a data set to be equal, the distribution must be",0.87007296
Which of the following newborn reflexes help infants find and eat food?,0.88010234
Sperling's partial report technique was designed to test the,0.8757745
REM sleep deprivation generally causes what kinds of side effects?,0.8749968
"Of the following, which provides the most valid and reliable data about individuals as they progress through various stages of development?",0.8551324
"Rather than use a shortcut to find out various possible combinations of alleles that could result from fertilization of an egg with particular genes by a sperm with particular genes, Shakira systematically lists every single possible combination to determine the probability that the baby will show a particular set of traits. Shakira is solving the problem by use of",0.8688116
"Due to brain damage, 10-year-old Genna underwent surgery to remove nearly the entire right hemisphere of her brain. Which of the following observations the day after the operation best illustrates the brain's plasticity?",0.88930815
"A psychologist, wishing to study the behavior of prisoners, arranges to dress as a prison guard so that he can stand in the recreation area and unobtrusively study the actions and interactions of the inmates. The psychologist is employing which of the following research tools?",0.84667146
A psychologist who believes in the humanistic perspective would be most likely to agree with which of the following statements?,0.8852249
More than half of the volume of the human brain is composed of the,0.8721236
"Six-month-old Sasha loves to play ""peek-a-boo"" with her mother, an indication that she has developed a sense of",0.85622483
"According to the opponent process theory of emotions,",0.8728321
"After a big Thanksgiving dinner replete with turkey, stuffing, and all, Karmina becomes violently ill. In the weeks that follow this event, Karmina feels an unexplainable aversion to chicken, one of her favorite dishes. Karmina's feeling about chicken reflects",0.8666465
In what way would a person diagnosed with schizophrenia most likely differ from a person diagnosed with a dissociative disorder?,0.8795919
Which of the following best summarizes the psychoanalytic perspective's view of behavior?,0.8526182
Which of the following is caused by a teratogen?,0.8788335
Which of the following scientists was among the first to study the relationship between reinforcement and learning?,0.85758615
"In studying for the AP Psychology exam, good advice would be to",0.8802022
"Irrelevant thoughts that provide stimulation when your interest is flagging, letting you experience positive emotions, are",0.86523646
"Species-specific behaviors that cannot be explained as a result of social learning or conditioning, such as Monarch butterflies flying to Mexico to mate, are called",0.8604814
"Joan strongly believes in capital punishment. After discussing capital punishment with only other people who believe in capital punishment in a chat room, Joan is most likely to",0.87430793
"Many experts on parenting recommend different approaches to responding to an infant's needs. Some emphasize responding promptly to a newborn's cries to instill a sense of security, whereas others suggest letting the baby ""cry it out."" Which of the following accounts of development would be most relevant when weighing these different approaches?",0.9043499
"""Psychology is the science of behavior and mental processes,"" commonly defines psychology. In their definition of psychology, behaviorists would be likely to eliminate",0.8933148
