prompt,embedding_similarity
Alyssa presents one group of shoppers with an advertisement for milk that is 99 percent fat free and another group of shoppers with an advertisement for milk that is 1 percent fat. What is Alyssa most likely testing?,0.8765078
Why might a researcher use a variable ratio of reinforcement rather than a fixed ratio?,0.86457705
"Which of the following best explains why mnemonic devices, such as the method of loci, are typically effective at helping individuals remember information?",0.8643298
"In order for the mean, mode, and median of a data set to be equal, the distribution must be",0.8697374
Which of the following newborn reflexes help infants find and eat food?,0.8798487
Sperling's partial report technique was designed to test the,0.8755137
REM sleep deprivation generally causes what kinds of side effects?,0.8747449
"Of the following, which provides the most valid and reliable data about individuals as they progress through various stages of development?",0.8548794
"Rather than use a shortcut to find out various possible combinations of alleles that could result from fertilization of an egg with particular genes by a sperm with particular genes, Shakira systematically lists every single possible combination to determine the probability that the baby will show a particular set of traits. Shakira is solving the problem by use of",0.86850494
"Due to brain damage, 10-year-old Genna underwent surgery to remove nearly the entire right hemisphere of her brain. Which of the following observations the day after the operation best illustrates the brain's plasticity?",0.8890014
"A psychologist, wishing to study the behavior of prisoners, arranges to dress as a prison guard so that he can stand in the recreation area and unobtrusively study the actions and interactions of the inmates. The psychologist is employing which of the following research tools?",0.846424
A psychologist who believes in the humanistic perspective would be most likely to agree with which of the following statements?,0.88494253
More than half of the volume of the human brain is composed of the,0.87188214
"Six-month-old Sasha loves to play ""peek-a-boo"" with her mother, an indication that she has developed a sense of",0.8559233
"According to the opponent process theory of emotions,",0.8725761
"After a big Thanksgiving dinner replete with turkey, stuffing, and all, Karmina becomes violently ill. In the weeks that follow this event, Karmina feels an unexplainable aversion to chicken, one of her favorite dishes. Karmina's feeling about chicken reflects",0.86639214
In what way would a person diagnosed with schizophrenia most likely differ from a person diagnosed with a dissociative disorder?,0.8793442
Which of the following best summarizes the psychoanalytic perspective's view of behavior?,0.8523631
Which of the following is caused by a teratogen?,0.8785808
Which of the following scientists was among the first to study the relationship between reinforcement and learning?,0.8573308
"In studying for the AP Psychology exam, good advice would be to",0.8799364
"Irrelevant thoughts that provide stimulation when your interest is flagging, letting you experience positive emotions, are",0.8649684
"Species-specific behaviors that cannot be explained as a result of social learning or conditioning, such as Monarch butterflies flying to Mexico to mate, are called",0.8602184
"Joan strongly believes in capital punishment. After discussing capital punishment with only other people who believe in capital punishment in a chat room, Joan is most likely to",0.8740081
"Many experts on parenting recommend different approaches to responding to an infant's needs. Some emphasize responding promptly to a newborn's cries to instill a sense of security, whereas others suggest letting the baby ""cry it out."" Which of the following accounts of development would be most relevant when weighing these different approaches?",0.90374696
"""Psychology is the science of behavior and mental processes,"" commonly defines psychology. In their definition of psychology, behaviorists would be likely to eliminate",0.8930334
Which of the therapies listed below is no longer used to treat patients?,0.883043
Vance's therapist believes Vance is psychotic. From which of the following medications would he most likely believe Vance would benefit?,0.8676214
"Lisa, determined to get away from her abusive father, leaves home and moves in with an abusive boyfriend. Lisa's choice of an abusive boyfriend is most relevant to Sigmund Freud's theory of",0.8629299
The minimum amount of physical energy needed for a person to notice a stimulus is called a(n),0.8551731
Which of the following is a stimulant medication used to treat attention-deficit/ hyperactivity disorder (ADHD)?,0.85418427
A population frequently studied to best assess the relative effects of nature vs. nurture is,0.8776713
People who suffer from major depression often have very low levels of which neurotransmitter?,0.8449026
"A research participant eats half a bowl of M&M candies, and then stops eating. How would a motivation researcher using drive reduction theory explain this participant's behavior?",0.85988617
A teacher attempts to encourage reading by exempting students from some homework assignments for each book they read. Which of the following terms best describes the behavior modification technique applied by the teacher?,0.8669709
"If the College Board neglected to put any questions that had to do with neuroscience on the AP Psychology exam one year, the test would lack",0.8539703
"To act consistently with the group's behavior, Etan changed what he was doing. This illustrates",0.8524326
"As the time for the AP Psychology exam approached, several students in the class who had not been doing homework or attending classes earlier in the term became more concerned about studying and attending regularly. Their motivation seems to be",0.8588917
Stimulation of norepinephrine receptors appears to produce,0.87657666
"Which of the following subsystems of the autonomic nervous system help the body return to ""business-as-usual"" after an emergency?",0.85449886
"You enter a bakery and are delighted by the aroma. After a short time, however, you no longer notice the odors because of sensory",0.8550534
Which psychoactive drugs are most frequently prescribed to relieve pain?,0.8583801
The instrument that has traditionally been used in sleep research to assess activity in the brain is called the,0.840221
A researcher has asked participants to complete a questionnaire that will assess how frequently in their lives they experience various emotions using a scale from 1 (never) to 5 (very often). The researcher is particularly interested in the relationship between feelings of guilt and other emotions. This researcher is most likely conducting which of the following types of research?,0.8458818
Four-year-old Kate positions herself squarely in front of all the other kids to watch a magician. Piaget would attribute this to Kate's,0.8807174
What is the purpose of the Diagnostic and Statistical Manual of Mental Disorders?,0.854175
All of the following are examples of secondary drives EXCEPT,0.8742755
"People generally send higher contributions to charities when check-off boxes on the response card the charity sends to donors suggest $25, $35, $50, other; rather than $10, $15, $25, other. This illustrates the",0.85136676
"Although many studies regarding the effects of a particular herb on memory have been conducted, results of any one study have been inconclusive. An overall conclusion might be reached by performing",0.8670873
Which approach emphasizes that therapists can effectively help their clients by offering unconditional positive regard?,0.84461373
"Your girlfriend dumps you. ""I knew you shouldn't have gone out with her,"" says your best friend, who has never uttered this sentiment before. Your friend's comment best illustrates",0.85787547
A math teacher refuses to look at the grades her students received in the past in math classes. The teacher is worried that looking at their past grades might influence the ways she reacts to her students. What effect is the teacher trying to avoid?,0.8682082
Faye believes that victims of natural disasters are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the,0.8704565
"""Behavior is personality"" best characterizes which of the following personality theories?",0.86089295
The fact that Will was better able to memorize his lines in the school play after finding out the meanings behind the words best illustrates the influence of,0.8736634
Which of the following conditions best characterizes the focus of a behavioral model of school intervention?,0.8897587
Which of the following endocrine glands is NOT paired with a hormone that it produces?,0.8628507
Which of the following drugs is classified as a stimulant?,0.8844573
"School psychologists serve a variety of clients, including students, parents, and systems. When individuals involved in a case cannot agree or have a conflict of interest, it is the responsibility of the school psychologist to first advocate for the needs of the",0.86384064
Why are psychoanalysts sometimes interested in talking with a patient about dreams?,0.8611241
